"","user_group","date","instance_count","instance_perc","user_sum","user_perc","post_sum","post_perc","post_ratio","instance_diff","user_diff","post_diff","post_ratio_diff"
"841","0-1",2023-04-02,3469,0.276943956570334,3433,0.000481732812431373,2820556,0.00444245479202132,821.600932129333,-8,-4,-7484,-1.22129655847618
"842","1-10",2023-04-02,6005,0.479402842088456,23557,0.00330561603916279,10082605,0.0158803856042242,428.008872097466,-4,-3,13073,0.609381435326497
"843","10-100",2023-04-02,1958,0.156314865080632,63747,0.00894524369183301,29570274,0.0465740107385506,463.869264435973,-1,-11,5258,0.162498226242917
"844","100-1000",2023-04-02,680,0.0542870828676353,224891,0.031557638776727,74585477,0.117474217747794,331.651675700673,-1,-969,-29683,1.29145255359055
"845","1000-10000",2023-04-02,319,0.0254670285805525,992759,0.13930806441496,192633462,0.303403104340264,194.038494740415,1,1069,39406,-0.16942910675462
"846","10000+",2023-04-02,95,0.00758422481239023,5817970,0.816401704264886,325216957,0.512225826777147,55.8986995464054,0,393,48919,0.00463265223275044
"847","0-1",2023-04-03,3474,0.277365269461078,3441,0.000482445557329773,2831146,0.00445424172556664,822.76838128451,5,8,10590,1.16744915517734
"848","1-10",2023-04-03,5997,0.478802395209581,23554,0.00330238961271301,10110772,0.0159072766010975,429.259234100365,-8,-3,28167,1.25036200289941
"849","10-100",2023-04-03,1962,0.156646706586826,63999,0.0089729826281744,29626333,0.0466111068182749,462.918686229472,4,252,56059,-0.95057820650112
"850","100-1000",2023-04-03,677,0.0540518962075848,223348,0.0313145162274019,74558247,0.117302482730493,333.820974443469,-3,-1543,-27230,2.16929874279657
"851","1000-10000",2023-04-03,320,0.0255489021956088,995513,0.139575944235407,192889384,0.303472849027088,193.758779644264,1,2754,255922,-0.279715096151534
"852","10000+",2023-04-03,95,0.00758483033932136,5822556,0.816351721738974,325590844,0.51225204309748,55.9188857951731,0,4586,373887,0.0201862487677573
"853","0-1",2023-04-04,3465,0.2770227054685,3433,0.000481064108763929,2832395,0.00445320993029331,825.049519370813,-9,-8,1249,2.28113808630246
"854","1-10",2023-04-04,5982,0.478253917492805,23461,0.0032875750235102,10076035,0.0158419638221304,429.480201184945,-15,-93,-34737,0.220967084580082
"855","10-100",2023-04-04,1966,0.157179405180684,63993,0.00896729843056513,29642982,0.0466059366034419,463.222258684544,4,-6,16649,0.303572455071333
"856","100-1000",2023-04-04,680,0.0543652062679885,224007,0.0313899585819637,74733199,0.117498662407392,333.619927055851,3,659,174952,-0.201047387618416
"857","1000-10000",2023-04-04,320,0.0255836264790534,995899,0.139554694102502,192940154,0.303348582999589,193.734659840004,0,386,50770,-0.0241198042599819
"858","10000+",2023-04-04,95,0.00759513911096898,5825470,0.816319409752695,325809701,0.512251644237154,55.9284831953473,0,2914,218857,0.00959740017420785
"859","0-1",2023-04-05,3454,0.277362884445515,3423,0.000478815659328324,2835220,0.0044515932653647,828.285130002921,-11,-10,2825,3.23561063210866
"860","1-10",2023-04-05,5946,0.477475307154902,23377,0.00327001860009297,10131177,0.015907012261277,433.382256063652,-36,-84,55142,3.90205487870713
"861","10-100",2023-04-05,1959,0.157311491206938,63844,0.00893061844994376,29686686,0.0466112158734054,464.987876699455,-7,-149,43704,1.7656180149113
"862","100-1000",2023-04-05,678,0.054444712117562,223575,0.0312740902817207,74774520,0.117403852135946,334.449379402885,-2,-432,41321,0.829452347033964
"863","1000-10000",2023-04-05,321,0.0257769212238015,998210,0.139631486794661,193126561,0.303228990452467,193.472877450637,1,2311,186407,-0.261782389367198
"864","10000+",2023-04-05,95,0.00762868385128082,5836460,0.816414970214253,326345892,0.512397336011539,55.9150395959194,0,10990,536191,-0.0134435994278803
"865","0-1",2023-04-06,3453,0.277304850626405,3420,0.000478237401520851,2838714,0.0044552650264431,830.033333333333,-1,-3,3494,1.74820333041191
"866","1-10",2023-04-06,5947,0.477593960809508,23346,0.00326459952511865,10115375,0.0158757368536798,433.28086181787,1,-31,-15802,-0.101394245782046
"867","10-100",2023-04-06,1957,0.157163507870222,63799,0.0089213649063242,29703277,0.0466182825000517,465.575902443612,-2,-45,16591,0.588025744157051
"868","100-1000",2023-04-06,679,0.0545293928686155,223894,0.0313083288819033,74886625,0.117532009674402,334.473567849071,1,319,112105,0.0241884461865425
"869","1000-10000",2023-04-06,321,0.0257789913266945,998471,0.139621689045007,193170155,0.303173985024237,193.465964459659,0,261,43594,-0.00691299097783826
"870","10000+",2023-04-06,95,0.00762929649855445,5838330,0.816405780240126,326445256,0.512344720921186,55.9141494228658,0,1870,99364,-0.000890173053662124
"871","0-1",2023-04-07,3445,0.276862492967934,3411,0.000476567839732373,2837750,0.00445235923373036,831.940779829962,-8,-9,-964,1.90744649662861
"872","1-10",2023-04-07,5947,0.477939403680784,23409,0.00327058826159341,10173700,0.0159622824900723,434.606347985817,0,63,58325,1.32548616794713
"873","10-100",2023-04-07,1954,0.157036084545528,63727,0.00890361733293021,29499568,0.0462840891466326,462.90533055063,-3,-72,-203709,-2.67057189298197
"874","100-1000",2023-04-07,681,0.0547295668247207,224651,0.0313871128008553,74965691,0.117619306329602,333.698452265959,2,757,79066,-0.775115583112267
"875","1000-10000",2023-04-07,321,0.0257976372257494,998912,0.139562982680371,193224475,0.303164399770576,193.43493220624,0,441,54320,-0.0310322534184309
"876","10000+",2023-04-07,95,0.0076348147552841,5843318,0.816399131084518,326657540,0.512517563029388,55.9027490887883,0,4988,212284,-0.0114003340775284
"877","0-1",2023-04-08,3453,0.27726031797013,3420,0.000477165869134609,2839567,0.00445000923204291,830.282748538012,8,9,1817,-1.65803129195024
"878","1-10",2023-04-08,5945,0.477356672555002,23414,0.00326677241518063,10193742,0.0159750574679391,435.369522507901,-2,5,20042,0.76317452208383
